Namespace(algo='sac-lstm', episode_num=10000, filter=False, interim_test_num=1, load_from=None, log=True, max_episode_steps=10000, num_stack=1, relaunch_period=5, render=False, reward_type='extra_github', save_period=50, seed=777, test=False, test_period=100, track='none')
{'GAMMA': 0.99, 'TAU': 0.005, 'W_ENTROPY': 0.001, 'W_MEAN_REG': 0.0, 'W_STD_REG': 0.0, 'W_PRE_ACTIVATION_REG': 0.0, 'LR_ACTOR': 0.0003, 'LR_VF': 0.0003, 'LR_QF1': 0.0003, 'LR_QF2': 0.0003, 'LR_ENTROPY': 0.0003, 'POLICY_UPDATE_FREQ': 2, 'BATCH_SIZE': 32, 'EPISODE_SIZE': 1000, 'STEP_SIZE': 16, 'AUTO_ENTROPY_TUNING': True, 'WEIGHT_DECAY': 0.0, 'INITIAL_RANDOM_ACTION': 10000, 'MULTIPLE_LEARN': 1, 'BRAKE_REGION': 200000, 'BRAKE_DIST_MU': 100000, 'BRAKE_DIST_SIGMA': 30000, 'BRAKE_FACTOR': 0.1}
166;1637;42678;620;1.089;-0.001;0.426;0.461;0.173;0.030;alpine-1;5;153.51;106.61
167;267;42945;91;1.086;-0.003;0.384;0.432;0.174;0.097;alpine-1;7;126.48;100.48
168;563;43508;187;1.210;-0.002;0.448;0.482;0.197;0.084;alpine-1;7;145.49;100.20
169;185;43693;64;1.264;0.001;0.477;0.488;0.212;0.087;alpine-1;7;136.11;101.38
170;582;44275;215;1.247;0.001;0.481;0.492;0.278;-0.005;alpine-1;7;141.20;102.40
171;694;44969;185;0.977;-0.001;0.420;0.444;0.214;-0.100;alpine-2;6;141.27;93.32
172;261;45230;77;1.220;-0.001;0.478;0.460;0.224;0.058;alpine-2;7;121.52;98.25
173;562;45792;173;1.205;-0.003;0.458;0.426;0.187;0.136;alpine-2;7;138.56;97.45
174;63;45855;3;1.495;-0.003;0.471;0.502;0.209;0.314;alpine-2;7;110.62;78.50
175;586;46441;183;1.358;-0.004;0.482;0.456;0.236;0.186;alpine-2;7;140.72;99.70
176;338;46779;110;1.248;0.001;0.452;0.489;0.230;0.076;e-track-1;7;135.35;93.59
177;78;46857;19;1.050;-0.005;0.438;0.509;0.178;-0.071;e-track-1;6;132.75;91.06
178;77;46934;19;1.332;-0.007;0.481;0.553;0.211;0.090;e-track-1;6;136.13;91.53
179;162;47096;51;1.050;-0.000;0.369;0.363;0.150;0.168;e-track-1;5;141.09;103.27
180;164;47260;48;1.468;0.004;0.475;0.454;0.238;0.298;e-track-1;6;140.93;99.77
181;136;47396;26;1.302;-0.009;0.514;0.475;0.179;0.139;e-track-2;6;131.74;86.36
182;252;47648;9;1.474;-0.003;0.478;0.532;0.282;0.184;e-track-2;7;121.90;25.15
183;67;47715;15;1.295;-0.000;0.441;0.426;0.177;0.251;e-track-2;7;125.13;86.35
184;124;47839;32;1.140;-0.010;0.414;0.399;0.138;0.195;e-track-2;5;140.18;94.99
185;140;47979;21;0.935;0.013;0.483;0.484;0.184;-0.224;e-track-2;6;134.22;83.83
186;194;48173;77;1.143;-0.004;0.532;0.479;0.205;-0.071;e-track-3;5;143.27;113.99
187;161;48334;57;1.097;-0.003;0.411;0.436;0.204;0.048;e-track-3;5;141.30;112.00
188;169;48503;60;1.455;0.002;0.502;0.485;0.303;0.165;e-track-3;5;142.78;111.84
189;178;48681;52;1.666;-0.006;0.482;0.529;0.316;0.341;e-track-3;5;142.01;108.15
190;194;48875;69;1.425;0.000;0.499;0.497;0.286;0.143;e-track-3;4;149.81;114.91
191;218;49093;71;1.889;-0.002;0.707;0.639;0.368;0.176;e-track-4;7;141.90;109.96
192;205;49298;64;1.505;0.004;0.583;0.537;0.270;0.113;e-track-4;6;141.92;110.08
193;220;49518;77;1.590;0.007;0.541;0.599;0.252;0.195;e-track-4;7;144.01;113.28
194;188;49706;63;1.327;0.000;0.525;0.511;0.211;0.079;e-track-4;7;148.61;109.29
195;307;50013;104;1.263;0.001;0.521;0.497;0.272;-0.028;e-track-4;6;149.19;116.44
196;161;50174;55;1.259;-0.004;0.485;0.538;0.268;-0.031;e-track-6;7;141.94;111.19
197;154;50328;53;2.302;0.014;0.908;0.748;0.699;-0.061;e-track-6;7;141.68;113.72
198;161;50489;52;1.305;-0.020;0.555;0.482;0.325;-0.048;e-track-6;7;141.83;110.98
199;173;50662;43;1.131;0.000;0.547;0.511;0.286;-0.213;e-track-6;7;141.28;106.01
200;166;50828;57;1.158;0.008;0.609;0.623;0.249;-0.326;e-track-6;7;140.16;111.11
201;374;51202;108;1.461;0.003;0.628;0.631;0.369;-0.169;forza;7;134.43;104.60
202;146;51348;43;1.377;-0.006;0.540;0.554;0.215;0.071;forza;7;141.10;105.09
203;362;51710;121;1.871;0.008;0.630;0.665;0.347;0.225;forza;7;140.58;107.22
204;156;51866;44;1.501;0.001;0.584;0.590;0.209;0.118;forza;7;141.02;103.98
205;142;52008;27;1.772;0.001;0.607;0.681;0.304;0.180;forza;7;112.29;94.46
206;98;52106;10;1.859;-0.009;0.647;0.661;0.232;0.324;g-track-1;6;110.70;86.93
207;60;52166;2;2.069;0.004;0.828;0.669;0.399;0.170;g-track-1;7;112.30;74.65
208;156;52322;43;1.927;0.008;0.593;0.613;0.330;0.387;g-track-1;6;141.52;103.41
209;273;52595;101;1.927;-0.001;0.624;0.657;0.323;0.324;g-track-1;6;146.56;111.69
210;303;52898;110;2.093;-0.000;0.684;0.771;0.393;0.246;g-track-1;6;141.34;111.01
211;120;53018;15;2.206;0.001;0.768;0.755;0.371;0.312;g-track-2;7;140.21;92.54
212;186;53204;53;2.630;-0.004;0.923;0.933;0.642;0.135;g-track-2;6;140.36;104.17
213;566;53770;230;1.907;-0.006;0.699;0.747;0.328;0.137;g-track-2;7;150.81;116.51
214;1120;54890;533;1.865;-0.002;0.748;0.762;0.375;-0.019;g-track-2;7;147.04;123.54
215;114;55004;28;1.986;-0.017;0.722;0.753;0.432;0.087;g-track-2;6;140.14;97.82
216;586;55590;181;1.648;0.001;0.665;0.701;0.346;-0.064;g-track-3;6;166.70;105.49
217;76;55666;14;1.547;0.012;0.532;0.556;0.298;0.155;g-track-3;7;131.98;86.51
218;336;56002;126;2.057;-0.005;0.857;0.754;0.442;0.006;g-track-3;6;141.97;108.18
219;341;56343;122;1.740;-0.004;0.648;0.733;0.323;0.038;g-track-3;6;156.06;107.43
220;78;56421;-1;1.866;0.013;0.670;0.934;0.480;-0.225;g-track-3;6;125.58;84.71
221;187;56608;72;1.633;-0.006;0.587;0.660;0.290;0.099;ole-road-1;7;141.66;112.27
